STATUS,REASON,ORIGIN,SUBJECT,PRIORITY,DESCRIPTION,ISCLOSED,CLOSEDDATE,ISESCALATED,CREATEDDATE,NICE_INCONTACT_CLOSED_DATE_TIME__C,NIC_CREATED_DATE__C,Business_Hours
Closed,,Email,Product Support,Low,id pretium iaculis diam erat fermentum justo nec condimentum neque,TRUE,2019-09-08T13:13:22.000Z,,2019-09-08T13:09:22.000Z,2019-09-08 13:13:22 UTC,2019-09-08T13:09:22Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Low,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,TRUE,2018-11-20T12:41:04.000Z,,2018-11-20T12:37:04.000Z,2018-11-20 12:41:04 UTC,2018-11-20T12:37:04Z,01m4P000000m2dc
Closed,,Web,Product Problem,Medium,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,TRUE,2019-05-08T16:01:54.000Z,,2019-05-08T15:57:54.000Z,2019-05-08 16:01:54 UTC,2019-05-08T15:57:54Z,01m4P000000m2dc
Closed,,Email,General Inquiry,High,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,TRUE,2019-09-20T07:34:54.000Z,,2019-09-20T07:30:54.000Z,2019-09-20 07:34:54 UTC,2019-09-20T07:30:54Z,01m4P000000m2dc
Closed,,Email,Known Issue,Medium,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,TRUE,2019-01-17T17:01:23.000Z,,2019-01-17T16:57:23.000Z,2019-01-17 17:01:23 UTC,2019-01-17T16:57:23Z,01m4P000000m2dc
Closed,,Phone,Known Issue,Medium,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,TRUE,2019-07-02T07:28:55.000Z,,2019-07-02T07:24:55.000Z,2019-07-02 07:28:55 UTC,2019-07-02T07:24:55Z,01m4P000000m2dc
Closed,,Email,Product Support,Low,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,TRUE,2019-05-20T00:34:29.000Z,,2019-05-20T00:30:29.000Z,2019-05-20 00:34:29 UTC,2019-05-20T00:30:29Z,01m4P000000m2dc
Closed,,Email,Known Issue,High,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,TRUE,2019-04-04T08:02:55.000Z,,2019-04-04T07:58:55.000Z,2019-04-04 08:02:55 UTC,2019-04-04T07:58:55Z,01m4P000000m2dc
Closed,,Web,General Inquiry,High,neque aenean auctor gravida sem praesent id massa id nisl venenatis,TRUE,2019-10-15T16:30:00.000Z,,2019-10-15T16:26:00.000Z,2019-10-15 16:30:00 UTC,2019-10-15T16:26:00Z,01m4P000000m2dc
Closed,,Email,Product Problem,Medium,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,TRUE,2018-12-29T07:00:43.000Z,,2018-12-29T06:56:43.000Z,2018-12-29 07:00:43 UTC,2018-12-29T06:56:43Z,01m4P000000m2dc
Closed,,Email,General Inquiry,Low,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,TRUE,2019-01-01T16:12:43.000Z,,2019-01-01T16:08:43.000Z,2019-01-01 16:12:43 UTC,2019-01-01T16:08:43Z,01m4P000000m2dc
Closed,,Email,General Inquiry,Medium,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,TRUE,2019-10-06T06:35:48.000Z,,2019-10-06T06:31:48.000Z,2019-10-06 06:35:48 UTC,2019-10-06T06:31:48Z,01m4P000000m2dc
Closed,,Web,Known Issue,Medium,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,TRUE,2019-04-11T21:48:59.000Z,,2019-04-11T21:44:59.000Z,2019-04-11 21:48:59 UTC,2019-04-11T21:44:59Z,01m4P000000m2dc
Closed,,Email,Product Support,Medium,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,TRUE,2019-04-04T17:57:15.000Z,,2019-04-04T17:53:15.000Z,2019-04-04 17:57:15 UTC,2019-04-04T17:53:15Z,01m4P000000m2dc
Closed,,Phone,Known Issue,Low,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,TRUE,2018-12-18T17:02:40.000Z,,2018-12-18T16:58:40.000Z,2018-12-18 17:02:40 UTC,2018-12-18T16:58:40Z,01m4P000000m2dc
Closed,,Email,Known Issue,Medium,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,TRUE,2019-04-03T08:52:53.000Z,,2019-04-03T08:48:53.000Z,2019-04-03 08:52:53 UTC,2019-04-03T08:48:53Z,01m4P000000m2dc
Closed,,Email,General Inquiry,High,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,TRUE,2019-04-04T08:09:30.000Z,,2019-04-04T08:05:30.000Z,2019-04-04 08:09:30 UTC,2019-04-04T08:05:30Z,01m4P000000m2dc
Closed,,Phone,Product Support,High,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,TRUE,2018-11-02T07:45:02.000Z,,2018-11-02T07:41:02.000Z,2018-11-02 07:45:02 UTC,2018-11-02T07:41:02Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Low,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,TRUE,2019-05-20T23:18:26.000Z,,2019-05-20T23:14:26.000Z,2019-05-20 23:18:26 UTC,2019-05-20T23:14:26Z,01m4P000000m2dc
Closed,,Phone,Product Support,High,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,TRUE,2019-04-23T20:29:40.000Z,,2019-04-23T20:25:40.000Z,2019-04-23 20:29:40 UTC,2019-04-23T20:25:40Z,01m4P000000m2dc
Closed,,Phone,Product Problem,Low,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,TRUE,2019-08-16T20:32:42.000Z,,2019-08-16T20:28:42.000Z,2019-08-16 20:32:42 UTC,2019-08-16T20:28:42Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Low,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,TRUE,2018-10-31T10:21:34.000Z,,2018-10-31T10:17:34.000Z,2018-10-31 10:21:34 UTC,2018-10-31T10:17:34Z,01m4P000000m2dc
Closed,,Email,General Inquiry,High,volutpat quam pede lobortis ligula sit amet eleifend pede libero,TRUE,2019-03-19T06:06:33.000Z,,2019-03-19T06:02:33.000Z,2019-03-19 06:06:33 UTC,2019-03-19T06:02:33Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Medium,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,TRUE,2019-07-29T14:33:38.000Z,,2019-07-29T14:29:38.000Z,2019-07-29 14:33:38 UTC,2019-07-29T14:29:38Z,01m4P000000m2dc
Closed,,Email,Product Support,High,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,TRUE,2019-03-22T12:18:00.000Z,,2019-03-22T12:14:00.000Z,2019-03-22 12:18:00 UTC,2019-03-22T12:14:00Z,01m4P000000m2dc
Closed,,Web,Product Problem,Medium,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,TRUE,2019-03-19T16:44:56.000Z,,2019-03-19T16:40:56.000Z,2019-03-19 16:44:56 UTC,2019-03-19T16:40:56Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Medium,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,TRUE,2019-04-14T19:21:21.000Z,,2019-04-14T19:17:21.000Z,2019-04-14 19:21:21 UTC,2019-04-14T19:17:21Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,Low,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,TRUE,2019-01-05T15:02:41.000Z,,2019-01-05T14:58:41.000Z,2019-01-05 15:02:41 UTC,2019-01-05T14:58:41Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,High,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,TRUE,2019-05-26T16:21:07.000Z,,2019-05-26T16:17:07.000Z,2019-05-26 16:21:07 UTC,2019-05-26T16:17:07Z,01m4P000000m2dc
Closed,,Web,Product Support,High,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,TRUE,2018-12-23T17:28:14.000Z,,2018-12-23T17:24:14.000Z,2018-12-23 17:28:14 UTC,2018-12-23T17:24:14Z,01m4P000000m2dc
Closed,,Phone,Known Issue,Medium,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,TRUE,2019-08-24T10:58:19.000Z,,2019-08-24T10:54:19.000Z,2019-08-24 10:58:19 UTC,2019-08-24T10:54:19Z,01m4P000000m2dc
Closed,,Email,Product Problem,Low,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,TRUE,2018-11-25T12:42:21.000Z,,2018-11-25T12:38:21.000Z,2018-11-25 12:42:21 UTC,2018-11-25T12:38:21Z,01m4P000000m2dc
Closed,,Web,Known Issue,High,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,TRUE,2019-09-15T05:07:01.000Z,,2019-09-15T05:03:01.000Z,2019-09-15 05:07:01 UTC,2019-09-15T05:03:01Z,01m4P000000m2dc
Closed,,Web,General Inquiry,Low,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,TRUE,2019-05-28T04:58:34.000Z,,2019-05-28T04:54:34.000Z,2019-05-28 04:58:34 UTC,2019-05-28T04:54:34Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,Medium,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,TRUE,2019-08-14T12:18:21.000Z,,2019-08-14T12:14:21.000Z,2019-08-14 12:18:21 UTC,2019-08-14T12:14:21Z,01m4P000000m2dc
Closed,,Phone,Known Issue,Low,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,TRUE,2019-02-17T10:28:30.000Z,,2019-02-17T10:24:30.000Z,2019-02-17 10:28:30 UTC,2019-02-17T10:24:30Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Low,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,TRUE,2019-03-13T09:49:15.000Z,,2019-03-13T09:45:15.000Z,2019-03-13 09:49:15 UTC,2019-03-13T09:45:15Z,01m4P000000m2dc
Closed,,Email,Product Support,Low,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,TRUE,2018-12-02T17:36:58.000Z,,2018-12-02T17:32:58.000Z,2018-12-02 17:36:58 UTC,2018-12-02T17:32:58Z,01m4P000000m2dc
Closed,,Web,Product Support,Medium,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,TRUE,2019-09-22T07:24:01.000Z,,2019-09-22T07:20:01.000Z,2019-09-22 07:24:01 UTC,2019-09-22T07:20:01Z,01m4P000000m2dc
Closed,,Email,Known Issue,Medium,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,TRUE,2019-07-11T16:43:51.000Z,,2019-07-11T16:39:51.000Z,2019-07-11 16:43:51 UTC,2019-07-11T16:39:51Z,01m4P000000m2dc
Closed,,Email,Product Problem,Low,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,TRUE,2019-03-29T05:51:50.000Z,,2019-03-29T05:47:50.000Z,2019-03-29 05:51:50 UTC,2019-03-29T05:47:50Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,Low,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,TRUE,2019-02-19T11:25:58.000Z,,2019-02-19T11:21:58.000Z,2019-02-19 11:25:58 UTC,2019-02-19T11:21:58Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Low,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,TRUE,2018-12-29T08:41:59.000Z,,2018-12-29T08:37:59.000Z,2018-12-29 08:41:59 UTC,2018-12-29T08:37:59Z,01m4P000000m2dc
Closed,,Web,General Inquiry,Low,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,TRUE,2019-02-20T17:43:06.000Z,,2019-02-20T17:39:06.000Z,2019-02-20 17:43:06 UTC,2019-02-20T17:39:06Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Low,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,TRUE,2019-07-29T08:51:08.000Z,,2019-07-29T08:47:08.000Z,2019-07-29 08:51:08 UTC,2019-07-29T08:47:08Z,01m4P000000m2dc
Closed,,Phone,Product Problem,High,id massa id nisl venenatis lacinia aenean sit amet justo,TRUE,2019-08-20T00:40:20.000Z,,2019-08-20T00:36:20.000Z,2019-08-20 00:40:20 UTC,2019-08-20T00:36:20Z,01m4P000000m2dc
Closed,,Phone,Product Support,Low,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,TRUE,2019-08-20T19:20:33.000Z,,2019-08-20T19:16:33.000Z,2019-08-20 19:20:33 UTC,2019-08-20T19:16:33Z,01m4P000000m2dc
Closed,,Email,Known Issue,High,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,TRUE,2018-11-23T09:19:03.000Z,,2018-11-23T09:15:03.000Z,2018-11-23 09:19:03 UTC,2018-11-23T09:15:03Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Medium,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,TRUE,2019-06-15T08:11:02.000Z,,2019-06-15T08:07:02.000Z,2019-06-15 08:11:02 UTC,2019-06-15T08:07:02Z,01m4P000000m2dc
Closed,,Web,Product Problem,Low,velit eu est congue elementum in hac habitasse platea dictumst,TRUE,2019-01-17T15:58:51.000Z,,2019-01-17T15:54:51.000Z,2019-01-17 15:58:51 UTC,2019-01-17T15:54:51Z,01m4P000000m2dc
Closed,,Email,Product Problem,Medium,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,TRUE,2019-02-20T16:26:00.000Z,,2019-02-20T16:22:00.000Z,2019-02-20 16:26:00 UTC,2019-02-20T16:22:00Z,01m4P000000m2dc
Closed,,Email,Product Problem,Medium,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,TRUE,2018-10-29T09:59:03.000Z,,2018-10-29T09:55:03.000Z,2018-10-29 09:59:03 UTC,2018-10-29T09:55:03Z,01m4P000000m2dc
Closed,,Email,Product Support,Low,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,TRUE,2018-11-08T15:41:46.000Z,,2018-11-08T15:37:46.000Z,2018-11-08 15:41:46 UTC,2018-11-08T15:37:46Z,01m4P000000m2dc
Closed,,Web,Product Problem,Medium,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,TRUE,2018-10-30T01:15:18.000Z,,2018-10-30T01:11:18.000Z,2018-10-30 01:15:18 UTC,2018-10-30T01:11:18Z,01m4P000000m2dc
Closed,,Phone,Product Problem,High,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,TRUE,2019-08-18T19:16:13.000Z,,2019-08-18T19:12:13.000Z,2019-08-18 19:16:13 UTC,2019-08-18T19:12:13Z,01m4P000000m2dc
Closed,,Email,Product Support,Medium,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,TRUE,2019-01-07T22:23:02.000Z,,2019-01-07T22:19:02.000Z,2019-01-07 22:23:02 UTC,2019-01-07T22:19:02Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,Low,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,TRUE,2018-12-19T17:21:53.000Z,,2018-12-19T17:17:53.000Z,2018-12-19 17:21:53 UTC,2018-12-19T17:17:53Z,01m4P000000m2dc
Closed,,Phone,Known Issue,Low,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,TRUE,2019-08-03T12:07:36.000Z,,2019-08-03T12:03:36.000Z,2019-08-03 12:07:36 UTC,2019-08-03T12:03:36Z,01m4P000000m2dc
Closed,,Email,Known Issue,Medium,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,TRUE,2019-05-31T14:23:32.000Z,,2019-05-31T14:19:32.000Z,2019-05-31 14:23:32 UTC,2019-05-31T14:19:32Z,01m4P000000m2dc
Closed,,Web,Product Problem,Low,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,TRUE,2019-01-13T22:04:22.000Z,,2019-01-13T22:00:22.000Z,2019-01-13 22:04:22 UTC,2019-01-13T22:00:22Z,01m4P000000m2dc
Closed,,Email,Product Problem,Medium,volutpat sapien arcu sed augue aliquam erat volutpat in congue,TRUE,2019-03-09T13:02:20.000Z,,2019-03-09T12:58:20.000Z,2019-03-09 13:02:20 UTC,2019-03-09T12:58:20Z,01m4P000000m2dc
Closed,,Email,Known Issue,Low,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,TRUE,2019-08-14T22:57:05.000Z,,2019-08-14T22:53:05.000Z,2019-08-14 22:57:05 UTC,2019-08-14T22:53:05Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,High,sed accumsan felis ut at dolor quis odio consequat varius,TRUE,2018-10-28T13:14:06.000Z,,2018-10-28T13:10:06.000Z,2018-10-28 13:14:06 UTC,2018-10-28T13:10:06Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,High,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,TRUE,2018-11-14T19:01:56.000Z,,2018-11-14T18:57:56.000Z,2018-11-14 19:01:56 UTC,2018-11-14T18:57:56Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,Medium,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,TRUE,2019-01-23T16:10:14.000Z,,2019-01-23T16:06:14.000Z,2019-01-23 16:10:14 UTC,2019-01-23T16:06:14Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Low,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,TRUE,2019-04-28T07:21:52.000Z,,2019-04-28T07:17:52.000Z,2019-04-28 07:21:52 UTC,2019-04-28T07:17:52Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,Medium,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,TRUE,2019-02-16T18:47:39.000Z,,2019-02-16T18:43:39.000Z,2019-02-16 18:47:39 UTC,2019-02-16T18:43:39Z,01m4P000000m2dc
Closed,,Phone,Product Support,High,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,TRUE,2018-12-13T03:28:04.000Z,,2018-12-13T03:24:04.000Z,2018-12-13 03:28:04 UTC,2018-12-13T03:24:04Z,01m4P000000m2dc
Closed,,Web,General Inquiry,Medium,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,TRUE,2018-11-09T03:08:13.000Z,,2018-11-09T03:04:13.000Z,2018-11-09 03:08:13 UTC,2018-11-09T03:04:13Z,01m4P000000m2dc
Closed,,Email,Product Support,Medium,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,TRUE,2019-05-28T03:50:20.000Z,,2019-05-28T03:46:20.000Z,2019-05-28 03:50:20 UTC,2019-05-28T03:46:20Z,01m4P000000m2dc
Closed,,Web,Known Issue,Low,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,TRUE,2019-02-09T05:25:54.000Z,,2019-02-09T05:21:54.000Z,2019-02-09 05:25:54 UTC,2019-02-09T05:21:54Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,Medium,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,TRUE,2019-03-20T14:24:53.000Z,,2019-03-20T14:20:53.000Z,2019-03-20 14:24:53 UTC,2019-03-20T14:20:53Z,01m4P000000m2dc
Closed,,Email,Product Problem,Low,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,TRUE,2019-03-02T11:18:42.000Z,,2019-03-02T11:14:42.000Z,2019-03-02 11:18:42 UTC,2019-03-02T11:14:42Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,Low,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,TRUE,2019-01-01T23:39:27.000Z,,2019-01-01T23:35:27.000Z,2019-01-01 23:39:27 UTC,2019-01-01T23:35:27Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Low,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,TRUE,2019-01-06T04:46:36.000Z,,2019-01-06T04:42:36.000Z,2019-01-06 04:46:36 UTC,2019-01-06T04:42:36Z,01m4P000000m2dc
